,Product Url,Product Name,Product Price,Ratings,Reviews
46,https://amazon.in/Arctic-Fox-Backpack-Charging-Laptop/dp/B089QBD333/ref=sr_1_35?crid=2M096C61O4MLT&keywords=bags&qid=1690108723&sprefix=ba%2Caps%2C283&sr=8-35,Arctic Fox Slope Anti Theft 23 L Backpack with USB Charging Port 15 Inch Laptop Backpack (Marble Black),"1,439",4.5,"4,024"
47,https://amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B07K8KLB3P/ref=sr_1_36?crid=2M096C61O4MLT&keywords=bags&qid=1690108723&sprefix=ba%2Caps%2C283&sr=8-36,"Wesley Unisex Milestone Casual Waterproof Laptop Office School College Business Travel Backpack 25 L (Dimensions: 12.5x18 inches) (Compatible with 15.6 inch laptops), Navy Blue",448,4.3,"13,086"
48,https://amazon.in/ADISA-BP005-Weight-Casual-Backpack/dp/B07F3X45WZ/ref=sr_1_37?crid=2M096C61O4MLT&keywords=bags&qid=1690108723&sprefix=ba%2Caps%2C283&sr=8-37,ADISA Light Weight Laptop Backpack 32 Ltrs,499,4.0,"6,013"
49,https://amazon.in/Backpack-Small-Black-Water-Repellant/dp/B088XB5XY8/ref=sr_1_38?crid=2M096C61O4MLT&keywords=bags&qid=1690108723&sprefix=ba%2Caps%2C283&sr=8-38,"Mi Step Out 12 L Mini Backpack (Small Size, Black, Water Repellant)",398,4.1,"9,457"
50,https://amazon.in/Exotic-Sling-Womens-Girls-Grey/dp/B092VSZ69M/ref=sr_1_39?crid=2M096C61O4MLT&keywords=bags&qid=1690108723&sprefix=ba%2Caps%2C283&sr=8-39,EXOTIC Women's Sling Bag,450,4.2,"2,486"
51,https://amazon.in/NORTH-ZONE-Lightweight-Backpacks-Stylish/dp/B0BL3SPN16/ref=sr_1_40?crid=2M096C61O4MLT&keywords=bags&qid=1690108723&sprefix=ba%2Caps%2C283&sr=8-40,NORTH ZONE Lightweight school bags Backpacks for Boys Girls Stylish men and women Casual Travel Laptop Bag College office,482,3.9,828
52,https://amazon.in/Zipline-Nexa-Resistant-Bagpack-Backpack/dp/B08WQ668WJ/ref=sr_1_41?crid=2M096C61O4MLT&keywords=bags&qid=1690108723&sprefix=ba%2Caps%2C283&sr=8-41,Zipline Unisex Casual Polyester 36 L Backpack School Bag Women Men Boys Girls Children Daypack College Bag Book School Sports Bag,843,3.6,927
53,https://amazon.in/STRABO-Cooper-Laptop-Bag-Capacity/dp/B0BX9SVT1D/ref=sr_1_42?crid=2M096C61O4MLT&keywords=bags&qid=1690108723&sprefix=ba%2Caps%2C283&sr=8-42,"STRABO Cooper for Boys Girls Stylish Men and Women Casual 15"" inch 25L CANVAS Laptop BACKPACK | Office, College, Travel Bag",699,4.4,50
54,https://amazon.in/sspa/click?ie=UTF8&spc=MTo2OTQ4ODE5NjI4ODkwNjQ5OjE2OTAxMDg3MjM6c3BfbXRmOjMwMDAxMTE2NjgzODczMjo6MDo6&url=%2FSafari-SAGE18FBBLK-Sage-Formal-Backpack%2Fdp%2FB097JLZBK3%2Fref%3Dsr_1_43_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1690108723%26sprefix%3Dba%252Caps%252C283%26sr%3D8-43-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,Sage Formal Backpack - black,"3,499",5.0,2
55,https://amazon.in/sspa/click?ie=UTF8&spc=MTo2OTQ4ODE5NjI4ODkwNjQ5OjE2OTAxMDg3MjM6c3BfbXRmOjIwMTYzMDU5ODA0MTk4OjowOjo&url=%2FWALKENT-Multifunction-Duo-Marketing-Waterproof%2Fdp%2FB0BJ986NTC%2Fref%3Dsr_1_44_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1690108723%26sprefix%3Dba%252Caps%252C283%26sr%3D8-44-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,"WALKENT Premium 2 in 1 Multifunction Travel Backpack & Laptop Bag Ideal for Sales & Marketing Jobs - Waterproof, Cushioned Strap, Multiple Carrying Positions for Men - (Model Duo, 35 Ltrs)","3,029",4.6,19
56,https://amazon.in/Lunars-V-Line-Resistant-Bagpack-College/dp/B08BP5CYDV/ref=sr_1_45?crid=2M096C61O4MLT&keywords=bags&qid=1690108723&sprefix=ba%2Caps%2C283&sr=8-45,"Lunar's V-Line Backpack for Men, Blue | 35L Water Resistant School Bags for Boys | Stylish, & Durable | College Bags for Men/College Bag for Girls | 1 Yr Warranty",799,4.1,"2,629"
57,https://amazon.in/ZIPLINE-Polyester-Backpack-Children-Daypack/dp/B07XVMVV77/ref=sr_1_46?crid=2M096C61O4MLT&keywords=bags&qid=1690108723&sprefix=ba%2Caps%2C283&sr=8-46,Zipline Unisex casual polyester 36 L Backpack School Bag Women Men Boys Girls children Daypack College Bag Book School Sports Bag Weekend Bag,843,4.0,"6,082"
58,https://amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B07NJRPJ6Q/ref=sr_1_47?crid=2M096C61O4MLT&keywords=bags&qid=1690108723&sprefix=ba%2Caps%2C283&sr=8-47,Wesley Milestone 15.6 inch 25 L Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack (Black),448,4.3,"13,086"
59,https://amazon.in/Step-Backpack-Small-Water-Repellant/dp/B088XG77KN/ref=sr_1_48?crid=2M096C61O4MLT&keywords=bags&qid=1690108723&sprefix=ba%2Caps%2C283&sr=8-48,"Mi Step Out 12 L Mini Backpack (Small Size, Red, Water Repellant)",319,4.1,"9,457"
